open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2023-03-07 02:00:00,22484.80000000,22509.99000000,22452.48000000,22497.86000000,5734.12894000,2023-03-07 02:59:59.999,128915741.71401600,197877,2906.07650000,65336960.01513710,0
2023-03-07 03:00:00,22497.87000000,22557.91000000,22445.22000000,22460.54000000,7212.57315000,2023-03-07 03:59:59.999,162187991.85079510,227274,3564.35906000,80157565.77590450,0
2023-03-07 04:00:00,22460.99000000,22479.80000000,22453.98000000,22474.36000000,4032.26352000,2023-03-07 04:59:59.999,90582142.55035020,136812,2111.38676000,47431532.26946130,0
2023-03-07 05:00:00,22474.36000000,22479.85000000,22443.73000000,22460.67000000,4659.12544000,2023-03-07 05:59:59.999,104667017.63972140,157703,2268.94300000,50972260.51963620,0
2023-03-07 06:00:00,22460.09000000,22461.31000000,22408.09000000,22438.52000000,6458.64388000,2023-03-07 06:59:59.999,144920044.24226680,201561,3364.51907000,75491442.02183880,0
2023-03-07 07:00:00,22438.07000000,22453.90000000,22410.24000000,22419.71000000,5882.30757000,2023-03-07 07:59:59.999,131943867.76309800,184297,2881.44998000,64634102.43106680,0
2023-03-07 08:00:00,22420.29000000,22426.65000000,22395.05000000,22420.18000000,6693.99498000,2023-03-07 08:59:59.999,150022716.13034370,194176,3262.11671000,73110662.19758840,0
2023-03-07 09:00:00,22420.53000000,22426.17000000,22345.49000000,22381.17000000,10907.27660000,2023-03-07 09:59:59.999,244201379.28631960,275756,5200.65730000,116438799.03505880,0
2023-03-07 10:00:00,22381.17000000,22432.60000000,22367.30000000,22372.85000000,8537.41518000,2023-03-07 10:59:59.999,191206807.77574350,237359,4222.58191000,94574600.65925710,0
2023-03-07 11:00:00,22372.85000000,22398.11000000,22321.00000000,22351.02000000,9399.60950000,2023-03-07 11:59:59.999,210283764.87403740,258697,4569.09624000,102222393.80476970,0
